Time Stamp,Jumlah Sembuh Perhari,Jumlah Positif Perhari,Jumlah Dirawat Perhari,Jumlah Kumulatif Positif,Jumlah Kumulatif Sembuh
2020-03-02T00:00:00.000Z,0,2,2,2,0
2020-03-03T00:00:00.000Z,0,0,0,2,0
2020-03-04T00:00:00.000Z,0,0,0,2,0
2020-03-05T00:00:00.000Z,0,0,0,2,0
2020-03-06T00:00:00.000Z,0,2,2,4,0
2020-03-07T00:00:00.000Z,0,0,0,4,0
2020-03-08T00:00:00.000Z,0,2,2,6,0
2020-03-09T00:00:00.000Z,0,13,13,19,0
2020-03-10T00:00:00.000Z,2,8,6,27,2
2020-03-11T00:00:00.000Z,0,7,6,34,2
2020-03-12T00:00:00.000Z,0,0,0,34,2
2020-03-13T00:00:00.000Z,0,35,32,69,2
2020-03-14T00:00:00.000Z,6,27,20,96,8
2020-03-15T00:00:00.000Z,0,21,21,117,8
2020-03-16T00:00:00.000Z,0,17,17,134,8
2020-03-17T00:00:00.000Z,1,38,37,172,9
2020-03-18T00:00:00.000Z,2,55,39,227,11
2020-03-19T00:00:00.000Z,4,82,72,309,15
2020-03-20T00:00:00.000Z,2,60,51,369,17
2020-03-21T00:00:00.000Z,3,81,72,450,20
2020-03-22T00:00:00.000Z,9,64,45,514,29
2020-03-23T00:00:00.000Z,1,65,63,579,30
2020-03-24T00:00:00.000Z,0,106,100,685,30
2020-03-25T00:00:00.000Z,1,105,101,790,31
2020-03-26T00:00:00.000Z,4,103,79,893,35
2020-03-27T00:00:00.000Z,11,153,133,1046,46
2020-03-28T00:00:00.000Z,13,109,81,1155,59
2020-03-29T00:00:00.000Z,5,130,113,1285,64
2020-03-30T00:00:00.000Z,11,129,110,1414,75
2020-03-31T00:00:00.000Z,6,114,94,1528,81
2020-04-01T00:00:00.000Z,22,149,106,1677,103
2020-04-02T00:00:00.000Z,9,113,91,1790,112
2020-04-03T00:00:00.000Z,22,196,163,1986,134
2020-04-04T00:00:00.000Z,16,106,80,2092,150
2020-04-05T00:00:00.000Z,14,181,160,2273,164
2020-04-06T00:00:00.000Z,28,218,179,2491,192
2020-04-07T00:00:00.000Z,12,247,223,2738,204
2020-04-08T00:00:00.000Z,18,218,181,2956,222
2020-04-09T00:00:00.000Z,30,337,267,3293,252
2020-04-10T00:00:00.000Z,30,219,163,3512,282
2020-04-11T00:00:00.000Z,4,330,305,3842,286
2020-04-12T00:00:00.000Z,73,399,280,4241,359
2020-04-13T00:00:00.000Z,21,316,269,4557,380
2020-04-14T00:00:00.000Z,46,282,176,4839,426
2020-04-15T00:00:00.000Z,20,297,267,5136,446
2020-04-16T00:00:00.000Z,102,380,251,5516,548
2020-04-17T00:00:00.000Z,59,407,324,5923,607
2020-04-18T00:00:00.000Z,24,325,286,6248,631
2020-04-19T00:00:00.000Z,55,327,225,6575,686
2020-04-20T00:00:00.000Z,61,185,116,6760,747
2020-04-21T00:00:00.000Z,95,375,254,7135,842
2020-04-22T00:00:00.000Z,71,283,193,7418,913
2020-04-23T00:00:00.000Z,47,357,298,7775,960
2020-04-24T00:00:00.000Z,42,436,352,8211,1002
2020-04-25T00:00:00.000Z,40,396,325,8607,1042
2020-04-26T00:00:00.000Z,65,275,187,8882,1107
2020-04-27T00:00:00.000Z,44,214,148,9096,1151
2020-04-28T00:00:00.000Z,103,415,304,9511,1254
2020-04-29T00:00:00.000Z,137,260,112,9771,1391
2020-04-30T00:00:00.000Z,131,347,208,10118,1522
2020-05-01T00:00:00.000Z,69,433,356,10551,1591
2020-05-02T00:00:00.000Z,74,292,187,10843,1665
2020-05-03T00:00:00.000Z,211,349,124,11192,1876
2020-05-04T00:00:00.000Z,78,395,298,11587,1954
2020-05-05T00:00:00.000Z,243,484,233,12071,2197
2020-05-06T00:00:00.000Z,120,367,224,12438,2317
2020-05-07T00:00:00.000Z,64,338,239,12776,2381
2020-05-08T00:00:00.000Z,113,336,210,13112,2494
2020-05-09T00:00:00.000Z,113,533,404,13645,2607
2020-05-10T00:00:00.000Z,91,387,282,14032,2698
2020-05-11T00:00:00.000Z,183,233,32,14265,2881
2020-05-12T00:00:00.000Z,182,484,286,14749,3063
2020-05-13T00:00:00.000Z,224,689,444,15438,3287
2020-05-14T00:00:00.000Z,231,568,322,16006,3518
2020-05-15T00:00:00.000Z,285,490,172,16496,3803
2020-05-16T00:00:00.000Z,108,529,408,17025,3911
2020-05-17T00:00:00.000Z,218,489,212,17514,4129
2020-05-18T00:00:00.000Z,195,496,258,18010,4324
2020-05-19T00:00:00.000Z,143,486,313,18496,4467
2020-05-20T00:00:00.000Z,108,693,564,19189,4575
2020-05-21T00:00:00.000Z,263,973,674,20162,4838
2020-05-22T00:00:00.000Z,219,634,367,20796,5057
2020-05-23T00:00:00.000Z,192,949,732,21745,5249
2020-05-24T00:00:00.000Z,153,526,352,22271,5402
2020-05-25T00:00:00.000Z,240,479,220,22750,5642
2020-05-26T00:00:00.000Z,235,415,153,23165,5877
2020-05-27T00:00:00.000Z,180,686,451,23851,6057
2020-05-28T00:00:00.000Z,183,687,481,24538,6240
2020-05-29T00:00:00.000Z,252,678,402,25216,6492
2020-05-30T00:00:00.000Z,523,557,-19,25773,7015
2020-05-31T00:00:00.000Z,293,700,367,26473,7308
2020-06-01T00:00:00.000Z,329,467,110,26940,7637
2020-06-02T00:00:00.000Z,298,609,289,27549,7935
2020-06-03T00:00:00.000Z,471,684,178,28233,8406
2020-06-04T00:00:00.000Z,486,585,76,28818,8892
2020-06-05T00:00:00.000Z,551,703,103,29521,9443
2020-06-06T00:00:00.000Z,464,993,498,30514,9907
2020-06-07T00:00:00.000Z,591,672,31,31186,10498
2020-06-08T00:00:00.000Z,406,847,409,32033,10904
2020-06-09T00:00:00.000Z,510,1042,492,33075,11414
2020-06-10T00:00:00.000Z,715,1241,490,34316,12129
2020-06-11T00:00:00.000Z,507,979,431,35295,12636
2020-06-12T00:00:00.000Z,577,1111,486,36406,13213
2020-06-13T00:00:00.000Z,563,1014,408,37420,13776
2020-06-14T00:00:00.000Z,755,857,59,38277,14531
2020-06-15T00:00:00.000Z,592,1017,361,39294,15123
2020-06-16T00:00:00.000Z,580,1106,493,40400,15703
2020-06-17T00:00:00.000Z,540,1031,446,41431,16243
2020-06-18T00:00:00.000Z,555,1331,713,42762,16798
2020-06-19T00:00:00.000Z,551,1041,456,43803,17349
2020-06-20T00:00:00.000Z,534,1226,636,45029,17883
2020-06-21T00:00:00.000Z,521,862,305,45891,18404
2020-06-22T00:00:00.000Z,331,954,588,46845,18735
2020-06-23T00:00:00.000Z,506,1051,510,47896,19241
2020-06-24T00:00:00.000Z,417,1113,658,49009,19658
2020-06-25T00:00:00.000Z,791,1178,340,50187,20449
2020-06-26T00:00:00.000Z,884,1240,293,51427,21333
2020-06-27T00:00:00.000Z,576,1385,772,52812,21909
2020-06-28T00:00:00.000Z,1027,1198,137,54010,22936
2020-06-29T00:00:00.000Z,864,1082,167,55092,23800
2020-06-30T00:00:00.000Z,1006,1293,216,56385,24806
2020-07-01T00:00:00.000Z,789,1385,538,57770,25595
2020-07-02T00:00:00.000Z,1072,1624,499,59394,26667
2020-07-03T00:00:00.000Z,901,1301,351,60695,27568
2020-07-04T00:00:00.000Z,651,1447,743,62142,28219
2020-07-05T00:00:00.000Z,886,1607,639,63749,29105
2020-07-06T00:00:00.000Z,814,1209,325,64958,29919
2020-07-07T00:00:00.000Z,866,1268,334,66226,30785
2020-07-08T00:00:00.000Z,800,1853,1003,68079,31585
2020-07-09T00:00:00.000Z,1066,2657,1533,70736,32651
2020-07-10T00:00:00.000Z,878,1611,681,72347,33529
2020-07-11T00:00:00.000Z,1190,1671,415,74018,34719
2020-07-12T00:00:00.000Z,919,1681,691,75699,35638
2020-07-13T00:00:00.000Z,1051,1282,181,76981,36689
2020-07-14T00:00:00.000Z,947,1591,590,78572,37636
2020-07-15T00:00:00.000Z,1414,1522,21,80094,39050
2020-07-16T00:00:00.000Z,1295,1574,203,81668,40345
2020-07-17T00:00:00.000Z,1489,1462,-111,83130,41834
2020-07-18T00:00:00.000Z,1434,1752,259,84882,43268
2020-07-19T00:00:00.000Z,2133,1639,-621,86521,45401
2020-07-20T00:00:00.000Z,1576,1693,21,88214,46977
2020-07-21T00:00:00.000Z,1489,1655,85,89869,48466
2020-07-22T00:00:00.000Z,1789,1882,-46,91751,50255
2020-07-23T00:00:00.000Z,1909,1906,-120,93657,52164
2020-07-24T00:00:00.000Z,1781,1761,-109,95418,53945
2020-07-25T00:00:00.000Z,1409,1868,410,97286,55354
2020-07-26T00:00:00.000Z,1301,1492,124,98778,56655
2020-07-27T00:00:00.000Z,1518,1525,-50,100303,58173
2020-07-28T00:00:00.000Z,2366,1748,-681,102051,60539
2020-07-29T00:00:00.000Z,1599,2381,708,104432,62138
2020-07-30T00:00:00.000Z,2154,1904,-333,106336,64292
2020-07-31T00:00:00.000Z,1615,2040,352,108376,65907
2020-08-01T00:00:00.000Z,2012,1560,-514,109936,67919
2020-08-02T00:00:00.000Z,1056,1519,420,111455,68975
2020-08-03T00:00:00.000Z,1262,1679,351,113134,70237
2020-08-04T00:00:00.000Z,1813,1922,23,115056,72050
2020-08-05T00:00:00.000Z,1839,1815,-88,116871,73889
2020-08-06T00:00:00.000Z,1756,1882,57,118753,75645
2020-08-07T00:00:00.000Z,1912,2473,489,121226,77557
2020-08-08T00:00:00.000Z,1749,2277,463,123503,79306
2020-08-09T00:00:00.000Z,1646,1893,182,125396,80952
2020-08-10T00:00:00.000Z,1284,1687,361,127083,82236
2020-08-11T00:00:00.000Z,1474,1693,160,128776,83710
2020-08-12T00:00:00.000Z,2088,1942,-225,130718,85798
2020-08-13T00:00:00.000Z,1760,2098,273,132816,87558
2020-08-14T00:00:00.000Z,2060,2307,194,135123,89618
2020-08-15T00:00:00.000Z,1703,2345,592,137468,91321
2020-08-16T00:00:00.000Z,1782,2081,220,139549,93103
2020-08-17T00:00:00.000Z,1355,1821,409,141370,94458
2020-08-18T00:00:00.000Z,1848,1673,-245,143043,96306
2020-08-19T00:00:00.000Z,2351,1902,-518,144945,98657
2020-08-20T00:00:00.000Z,2017,2266,177,147211,100674
2020-08-21T00:00:00.000Z,2317,2197,-202,149408,102991
2020-08-22T00:00:00.000Z,2207,2090,-211,151498,105198
2020-08-23T00:00:00.000Z,2302,2037,-351,153535,107500
2020-08-24T00:00:00.000Z,3560,1877,-1762,155412,111060
2020-08-25T00:00:00.000Z,1807,2447,541,157859,112867
2020-08-26T00:00:00.000Z,2542,2306,-322,160165,115409
2020-08-27T00:00:00.000Z,3166,2719,-567,162884,118575
2020-08-28T00:00:00.000Z,2325,3003,573,165887,120900
2020-08-29T00:00:00.000Z,1902,3308,1314,169195,122802
2020-08-30T00:00:00.000Z,1383,2858,1393,172053,124185
2020-08-31T00:00:00.000Z,1774,2743,895,174796,125959
2020-09-01T00:00:00.000Z,2098,2775,589,177571,128057
2020-09-02T00:00:00.000Z,1914,3075,1050,180646,129971
2020-09-03T00:00:00.000Z,2084,3622,1404,184268,132055
2020-09-04T00:00:00.000Z,2126,3269,1061,187537,134181
2020-09-05T00:00:00.000Z,2220,3128,800,190665,136401
2020-09-06T00:00:00.000Z,2174,3444,1185,194109,138575
2020-09-07T00:00:00.000Z,2077,2880,698,196989,140652
2020-09-08T00:00:00.000Z,2306,3046,640,200035,142958
2020-09-09T00:00:00.000Z,2242,3307,959,203342,145200
2020-09-10T00:00:00.000Z,2310,3861,1431,207203,147510
2020-09-11T00:00:00.000Z,2707,3737,942,210940,150217
2020-09-12T00:00:00.000Z,2241,3806,1459,214746,152458
2020-09-13T00:00:00.000Z,2552,3636,1011,218382,155010
2020-09-14T00:00:00.000Z,3395,3141,-372,221523,158405
2020-09-15T00:00:00.000Z,2660,3507,723,225030,161065
2020-09-16T00:00:00.000Z,3036,3963,792,228993,164101
2020-09-17T00:00:00.000Z,2585,3635,928,232628,166686
2020-09-18T00:00:00.000Z,4088,3891,-311,236519,170774
2020-09-19T00:00:00.000Z,3576,4168,480,240687,174350
2020-09-20T00:00:00.000Z,2977,3989,907,244676,177327
2020-09-21T00:00:00.000Z,3470,4176,582,248852,180797
2020-09-22T00:00:00.000Z,3501,4071,410,252923,184298
2020-09-23T00:00:00.000Z,3660,4465,665,257388,187958
2020-09-24T00:00:00.000Z,3895,4634,611,262022,191853
2020-09-25T00:00:00.000Z,4343,4823,367,266845,196196
2020-09-26T00:00:00.000Z,3207,4494,1197,271339,199403
2020-09-27T00:00:00.000Z,3611,3874,185,275213,203014
2020-09-28T00:00:00.000Z,3856,3509,-434,278722,206870
2020-09-29T00:00:00.000Z,3567,4002,307,282724,210437
2020-09-30T00:00:00.000Z,4510,4284,-365,287008,214947
2020-10-01T00:00:00.000Z,3540,4174,518,291182,218487
2020-10-02T00:00:00.000Z,2853,4317,1348,295499,221340
2020-10-03T00:00:00.000Z,3712,4007,212,299506,225052
2020-10-04T00:00:00.000Z,3401,3992,495,303498,228453
2020-10-05T00:00:00.000Z,4140,3622,-620,307120,232593
2020-10-06T00:00:00.000Z,3844,4056,91,311176,236437
2020-10-07T00:00:00.000Z,3854,4538,586,315714,240291
2020-10-08T00:00:00.000Z,3769,4850,973,320564,244060
2020-10-09T00:00:00.000Z,3607,4094,390,324658,247667
2020-10-10T00:00:00.000Z,3814,4294,392,328952,251481
2020-10-11T00:00:00.000Z,3546,4497,872,333449,255027
2020-10-12T00:00:00.000Z,3492,3267,-316,336716,258519
2020-10-13T00:00:00.000Z,4777,3906,-963,340622,263296
2020-10-14T00:00:00.000Z,4555,4127,-557,344749,267851
2020-10-15T00:00:00.000Z,5810,4411,-1511,349160,273661
2020-10-16T00:00:00.000Z,3883,4301,339,353461,277544
2020-10-17T00:00:00.000Z,4048,4301,169,357762,281592
2020-10-18T00:00:00.000Z,3732,4105,293,361867,285324
2020-10-19T00:00:00.000Z,3919,3373,-652,365240,289243
2020-10-20T00:00:00.000Z,4410,3602,-925,368842,293653
2020-10-21T00:00:00.000Z,3856,4267,288,373109,297509
2020-10-22T00:00:00.000Z,3497,4432,833,377541,301006
2020-10-23T00:00:00.000Z,4094,4369,157,381910,305100
2020-10-24T00:00:00.000Z,4119,4070,-177,385980,309219
2020-10-25T00:00:00.000Z,4545,3732,-907,389712,313764
2020-10-26T00:00:00.000Z,3908,3222,-798,392934,317672
2020-10-27T00:00:00.000Z,4576,3520,-1157,396454,322248
2020-10-28T00:00:00.000Z,3545,4029,384,400483,325793
2020-10-29T00:00:00.000Z,3985,3565,-509,404048,329778
2020-10-30T00:00:00.000Z,4517,2897,-1701,406945,334295
2020-10-31T00:00:00.000Z,3506,3143,-450,410088,337801
2020-11-01T00:00:00.000Z,4141,2696,-1519,412784,341942
2020-11-02T00:00:00.000Z,3624,2618,-1107,415402,345566
2020-11-03T00:00:00.000Z,3931,2973,-1060,418375,349497
2020-11-04T00:00:00.000Z,3785,3356,-542,421731,353282
2020-11-05T00:00:00.000Z,3860,4065,116,425796,357142
2020-11-06T00:00:00.000Z,3563,3778,121,429574,360705
2020-11-07T00:00:00.000Z,3712,4262,452,433836,364417
2020-11-08T00:00:00.000Z,3881,3880,-75,437716,368298
2020-11-09T00:00:00.000Z,3968,2853,-1190,440569,372266
2020-11-10T00:00:00.000Z,3475,3779,232,444348,375741
2020-11-11T00:00:00.000Z,3241,3770,454,448118,378982
2020-11-12T00:00:00.000Z,3102,4173,974,452291,382084
2020-11-13T00:00:00.000Z,3010,5444,2330,457735,385094
2020-11-14T00:00:00.000Z,3000,5272,2161,463007,388094
2020-11-15T00:00:00.000Z,3897,4106,146,467113,391991
2020-11-16T00:00:00.000Z,3452,3535,-2,470648,395443
2020-11-17T00:00:00.000Z,3193,3807,517,474455,398636
2020-11-18T00:00:00.000Z,3711,4265,444,478720,402347
2020-11-19T00:00:00.000Z,4265,4798,436,483518,406612
2020-11-20T00:00:00.000Z,3940,4792,774,488310,410552
2020-11-21T00:00:00.000Z,3403,4998,1499,493308,413955
2020-11-22T00:00:00.000Z,4233,4360,17,497668,418188
2020-11-23T00:00:00.000Z,4198,4442,126,502110,422386
2020-11-24T00:00:00.000Z,2927,4192,1156,506302,425313
2020-11-25T00:00:00.000Z,4494,5534,926,511836,429807
